Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,Population,Moody's_Bond_Ratings,area lmt,ACGLFY,EGL,TANF Recipients,empl,ACMR,enrollmt,RPA Identifier
CHESTER,VR,2008,26,26,M,6213261,3162311,9375572,467725,1270405,9865652,11658418,7887865,447365,11599729,19171,19171,500,500,77360,24319,77360,0,4714943.44,1895000,6609943.44,270269,0,1845719,N,,N,N,9834704,9744429,0.990820771016596,10008438,9812195,0.980392245023649,,,16.03,,768858651.55,,0.04126426690079,23.12,588.24,
CLINTON,VR,2008,27,27,M,41007153,3317894,44325047,1460176,18180031,33299853,53305221,37475160,1997447,50693984,0,0,1298952,1298952,1312285,161869,1312285,0,,12547315,12547315,310816,250000,6689477,N,,N,Y,33226783,33008718,0.993437071533528,33607523,33099758,0.984891329241968,,,16.28,,2544527056.15,,0.046412443552433,20.260000000000002,2124.8000000000002,
COLCHESTER,VR,2008,28,28,NL,63310513,9624438,72934951,802617,18442383,28680150,49025836,35822916,4684364,48907109,0,0,329395,329395,-210668,-971216,-210668,0,,24355000,24355000,148615,719425,4818859,N,,N,N,28443115,27793797,0.9771713470905,29647117,28310000,0.954898919851128,,,49.06,,1750253358.57,,0.049127126230976,23.01,3264.52,
COLEBROOK,VR,2008,29,29,L,4122976,2325049,6451283,20124,1292929,4249863,5729501,4056429,198590,5691561,7000,7000,275000,275000,-230060,-97140,-230060,0,911164.81,1083415,1994579.81,0,58100,1211872,N,,N,N,4156258,4078963,0.981402742563142,4357196,4180994,0.959560689948306,,,31.49,,285784134.4,,0.031400966183575,22.59,263.39,
COLUMBIA,VR,2008,30,30,T,8331417,4289819,12635173,190166,6621012,10864965,18111286,14135143,999683,18534201,194043,194043,513199,513199,-742071,-514135,-742071,0,,5150000,5150000,12328,329261,1291911,Y,,N,N,10838318,10699320,0.987175316317532,10987565,10780137,0.98112156788151,,,21.35,,738700757.14,,0.045350734094617,20.9,855.8,
CORNWALL,KE,2008,31,31,L,5348603,2506069,8137107,162655,1217468,5359244,6766951,4411874,407194,6346657,14000,14000,470504,470504,-36210,184216,-36210,0,591686.47,2635000,3226686.47,0,304064,1447683,N,,N,N,5290207,5222091,0.987124133327864,5502080,5301741,0.963588497440968,,,46,,634406507.14,,0.037125748502994,11.9,201.31,
COVENTRY,VR,2008,32,32,T,88972324,14949841,103924503,7540969,18003325,23328579,42160304,31080910,2794397,42051173,184661,184661,100923,100923,192869,266392,192869,0,,26754749,26754749,142626,0,2489039,N,,N,N,23351565,22799813,0.976371947661752,23861545,23141050,0.969805182355124,,,37.72,,1468099473.51,,0.048339222614841,27.59,2074.67,
CROMWELL,VR,2008,33,33,M,83060826,11425727,94496371,1099707,13374918,33037472,48234073,32372132,3135897,47045789,935155,935155,944446,944446,1178993,1129000,1178993,0,,31150000,31150000,670645,307750,5739373,N,,N,N,32897376,32669608,0.993076408282533,33621964,32897535,0.978453697707844,,,12.39,,1980706009.6,,0.047998986828774,31.14,1983.49,
DANBURY,VR,2008,34,34,F,140360414,13679477,155434037,-8396289,42719455,139210955,197369401,114914158,10455772,203282937,0,5296150,721184,721184,-6634720,2978061,-1338570,0,,120860789,120860789,2205086,3000000,26981103,N,,N,N,139630959,137492791,0.984687006267715,144834201,139147566,0.960736932570229,,,42.11,,12671862277.46,,0.046806990915381,22.2,9964.7800000000007,
DARIEN,VR,2008,35,35,F,84591426,32028030,116619456,39139,29590967,90532664,126548548,89629028,9980921,121408510,1668248,1843680,6442847,6442847,365439,3182132,540871,0,,97939665,97939665,177432,1100000,17587819,N,,N,N,90029920,89494121,0.994048656268938,91118320,90030820,0.988064968713207,,,12.86,,12768925522.16,,0.038419677840662,13.87,4665.16,
DEEP RIVER,VR,2008,36,36,M,9314491,-476953,9231046,379976,2853312,10861841,14939511,10083786,1038773,14801779,14562,14562,38496,38496,113798,-654204,113798,0,6582049.02,702054,7284103.02,104259,0,707698,N,,N,N,10793153,10621369,0.984083983614427,11014062,10746478,0.975705239356742,,,13.55,,764690796.48,,0.047140649149923,21.25,689.53,
DERBY,VR,2008,37,37,NH,21737079,9653149,31393781,2433087,17123121,22881651,41232372,23663301,2233164,40071458,0,0,0,0,1160914,-1198134,1160914,0,,14838838,14838838,281442,0,3343922,N,,N,N,22938175,22247064,0.969870706802089,23866604,22626302,0.948031902653599,,,4.98,,1397512195.75,,0.065924533757409,25.5,1553.87,
DURHAM,VR,2008,38,38,M,41334758,5191079,46565153,-431702,4311970,19796973,24859142,19506284,0,24644737,568538,568538,348400,348400,434543,343360,434543,0,11112592.74,0,11112592.74,402793,0,3244034,N,,N,N,19685093,19473351,0.989243535704911,20009551,19683138,0.983687140206195,,,23.6,,1110472228.32,,0.038665132336018,26.25,1429.31,
EAST GRANBY,VR,2008,39,40,H,19124783,2927016,23320282,1730386,2764573,13822264,17258041,11887509,827138,16444319,100000,100000,461078,461078,452644,174957,452644,0,,1915000,1915000,449798,0,2608118,N,,N,N,13812181,13575753,0.98288264539829,14175434,13741710,0.969403123742102,,,17.48,,871556066.68,,0.0417641162713,28,923.89,
EAST HADDAM,KE,2008,40,41,M,43830231,21719688,65990909,12684479,11649505,19615568,32601192,23363965,1802200,31490544,597901,1097901,1555652,1555652,152897,938695,652897,0,,20457417,20457417,0,879533,6875583,N,,N,N,19513888,19324721,0.990306032298638,19680988,19450054,0.988266137858526,,,54.33,,1468673777.22,,0.043461612100326,27.78,1463.2,
EAST HAMPTON,VR,2008,41,42,M,58473214,16721792,75211111,1890258,18124172,25728961,44900647,32650534,2081470,42760007,0,0,1513973,1513973,626667,332765,626667,0,,9196063,9196063,1888,0,4571431,N,,N,N,25714934,25357394,0.986096017201522,26018341,25536173,0.981468149717924,,,35.590000000000003,,1723486912.42,,0.056908306664812,23.3,2085.1999999999998,
MIDDLEBURY,VR,2008,82,81,NH,37455627,11101227,48556854,914715,902091,22952412,24890255,15904783,3939889,26495178,502582,1795762,320293,320293,-1422634,-2432796,-129454,0,9054963.93,6573958,15628921.93,0,0,3220663,N,,N,N,22891089,22628202,0.988515749512835,23314569,22816235,0.978625639616156,,,17.75,,1491853687.14,,0.04387522191225,21.9,1334.98,
MIDDLEFIELD,VR,2008,83,82,M,4314479,4500342,8814821,128725,2318681,10651060,13423907,10062275,326043,13291203,256100,256100,238200,238200,150604,-434230,150604,0,5732407.26,5883676,11616083.26,30804,150000,889051,N,,N,N,10684022,10476377,0.980564903366916,10912259,10562284,0.967928272230342,,,12.7,,649565171.43,,0.046579941250525,24.11,749.25,
MIDDLETOWN,VR,2008,84,83,M,261139000,29717000,291677000,18580000,55133000,83244000,146238000,89694000,13436000,131652000,615000,737000,14720000,14720000,481000,4570000,603000,0,,84039000,84039000,1435000,3715000,18926000,N,,N,N,90512000,88446000,0.977174297330741,92822000,89198000,0.960957531619659,,,40.9,,5745220103.83,,0.052793306430713,31.8,5199.22,
MILFORD,VR,2008,85,84,NH,141359000,7084000,148594000,3266000,49611000,142244000,202351000,128653000,9246000,199076000,1000000,1000000,1530000,1530000,2745000,184000,2745000,0,,69203000,69203000,2633000,1750000,18588000,N,,N,N,142991000,140289000,0.98110370582764,148738000,142008000,0.954752652314809,,,22.56,,10214669430,,0.04760147601476,31.77,7371.78,
MONROE,VR,2008,86,85,F,48849072,-3008919,46034749,393465,25538538,57756527,86029299,64456492,5543136,86719803,123682,841482,429726,429726,-996548,703676,-278748,0,,46595026,46595026,679098,370000,3364912,N,,N,Y,57583056,57014214,0.990121364868165,58152529,57354980,0.986285222436328,,,26.13,,3845023945.45,,0.046786922209696,27.42,4183.43,
MONTVILLE,VR,2008,87,86,NL,51927736,-4812861,47114875,8399189,21898983,31312764,57232675,36705134,3978148,58737124,50818,3351318,30000,30000,-1483631,-73884,1816869,0,,35674785,35674785,3213494,3417654,12361588,N,,N,N,30950275,30385745,0.98176009744663,32260199,30877851,0.957150047338518,,,42.01,,2113241212.86,,0.053034395822078,21,2931.39,
MORRIS,VR,2008,88,87,L,5322235,1612537,6992268,313657,716550,7085222,8094488,5746376,0,7800124,0,0,100000,100000,194364,155316,194364,0,2283037.87,0,2283037.87,89934,175000,1049142,N,,N,N,7073357,7002823,0.990028214325956,7133399,7042654,0.987278855423621,,,17.190000000000001,,666197297.5,,0.052590873936582,20.67,385.7,
NAUGATUCK,VR,2008,89,88,NH,104944090,11178920,119322988,7970728,50526650,60733633,119679465,73739126,10348435,115505108,32028,69049,4352393,4352393,-146008,1043999,-108987,0,,97369947,97369947,267636,950000,9672220,Y,,N,N,60340080,57664453,0.955657549675108,67343778,60322422,0.895738608546732,,,16.39,,3202794984.99,,0.068642291569632,41.3,5132.03,
NEW BRITAIN,VR,2008,90,89,H,147314000,-43784000,106244000,14049000,138925000,95447000,249856000,160456000,25374000,221139000,5370000,5370000,31804000,31804000,2283000,-1113000,2283000,0,,183790000,183790000,3661000,0,13410000,N,,N,N,95749000,91654000,0.957231929315189,104848000,94090000,0.897394323210743,,,13.34,,4617766549.32,,0.083524948263969,45.39,10984.91,
NEW CANAAN,VR,2008,91,90,F,75570092,31065181,106635273,13581476,6897458,102071289,116169511,67946645,13177740,115635545,0,500000,351125,351125,182841,617056,682841,0,,141318388,141318388,3074066,2232586,15390012,N,,N,N,101561528,100830060,0.992797784609936,102835069,101388498,0.985933096422583,,,22.13,,13048972888.37,,0.038423098278734,14.536,4110.28,
NEW FAIRFIELD,VR,2008,92,91,F,37959367,17940051,55899418,1230126,7997963,36330018,46346189,29784853,2458985,44781589,23302,23302,1187360,1187360,400542,943151,400542,0,,12600000,12600000,810158,0,7473411,N,,N,N,36304467,35993657,0.991438794570376,36566220,36156903,0.988806144031294,,,20.46,,2849406053.41,,0.043098889476467,19.96,3006.6,
NEW HARTFORD,VR,2008,93,92,L,9943175,4039050,13996125,1336423,7275891,16340531,24253987,17203654,817610,23410864,130643,130643,235400,235400,738366,590181,738366,0,3732417.97,6005000,9737417.97,0,361691,3102910,N,,N,N,16158191,15931870,0.985993419684171,16430760,16051351,0.976908615304465,,,37.020000000000003,,1066547118.26,,0.047157453497511,28.15,1141.81,
NEW HAVEN,VR,2008,94,93,NH,690783952,-108981890,597091294,49589029,289221907,186365020,516854707,256210171,62703859,522068999,6000000,6000000,0,0,785708,1698873,785708,0,,503183683,503183683,0,0,15508258,N,,N,Y,185890697,182089417,0.97955099388325,191434145,184580509,0.964198466266297,,,18.850000000000001,,6370284874.29,,0.083594491502659,42.21,18546.95,
NEW LONDON,VR,2008,95,95,NL,172629259,17158956,189788215,864744,48716788,38090479,92261800,52721171,3721467,92100343,0,0,3402477,3402477,-3241020,2473351,-3241020,0,,26142119,26142119,55151,145758,6171501,N,,N,N,38187117,37290161,0.976511554930947,39514512,37799209,0.956590555895009,,,5.54,,2410966668.11,,0.068987983205444,30.45,3380.86,
NEW MILFORD,VR,2008,96,96,L,98580495,66923265,165503760,627821,35086420,65193083,105468489,75142150,6498445,106481971,979756,1303114,2924598,2924598,-2958324,-1064512,-2634966,0,,39183815,39183815,896274,3333030,11587038,N,,N,N,64337077,63119503,0.981075080548033,66534820,64298304,0.966385781159399,,,61.58,,5123703742.08,,0.044741358176024,21.34,4918.78,
NEWINGTON,VR,2008,97,94,H,52163000,27626000,80371000,6923000,35474000,70359000,109930000,73635000,2804000,104668000,94000,94000,4418000,4418000,938000,1298000,938000,0,,19108000,19108000,1572000,2000000,15644000,N,,N,N,69973000,69338000,0.990925071098852,71034000,69816000,0.982853281527156,,,13.17,,4219375007.67,,0.048013837528331,26.91,4553.21,
NEWTOWN,VR,2008,98,97,F,122076076,14657092,147904156,6897465,24452450,85409590,114050867,79232308,9613705,113912602,4700000,4700000,165000,165000,4673265,466210,4673265,0,,71760665,71760665,2341582,2619306,12782086,N,,N,N,84992465,84184897,0.990498357707357,86103550,84796275,0.984817408806025,,,57.76,,5802328235.5,,0.041038525963149,28.1,5747.07,
NORFOLK,VR,2008,99,98,L,4181551,2346154,6527705,428989,1641612,6024753,8008160,4548555,117233,7362981,8743,8743,159112,159112,494810,-196885,494810,0,724594.56,607000,1331594.56,0,232000,1398028,N,,N,N,5877688,5778067,0.983050988756123,6104602,5947880,0.974327237058206,,,45.31,,421545602.8,,0.04135737009544,28.12,265.87,
NORTH BRANFORD,VR,2008,100,99,NH,33250331,3286555,36536886,535646,18384827,31157035,50320621,35671506,3174713,49911141,446508,757881,431875,431875,424113,248640,735486,0,,29254585,29254585,1168604,350000,5703297,N,,N,N,30109078,29649662,0.984741611815546,30511354,29856743,0.978545331026607,,,24.92,,1979674513.28,,0.048774684748989,23.7,2530.56,
NORTH CANAAN,VR,2008,101,100,L,7327782,1246904,10043979,1075455,4106173,6574491,11099747,8227379,367556,11035855,43580,43580,0,0,107472,226906,107472,0,1037727.09,907673,1945400.09,0,0,597951,N,,Y,N,6573446,6447619,0.980858289548587,6873143,6556730,0.953963856128121,,,19.45,,544916147.08,,0.052268811028145,26.1,474.25,
NORTH HAVEN,VR,2008,102,101,NH,61596577,17405540,79221752,-2402511,8098936,66035552,80818347,43745733,5744928,80742492,952323,952323,380000,380000,648178,3271364,648178,0,,66522748,66522748,391112,6674166,13320727,N,,N,N,65327394,64297284,0.984231576725684,68760124,65391698,0.951011926621889,,,20.77,,4101886906.81,,0.048714069591528,25.44,3902.1,
NORTH STONINGTON,VR,2008,103,102,NL,5207338,4792747,10000085,-180847,5604145,11218645,17310481,11524609,765325,17127392,89441,89441,289708,289708,-17178,-540603,-17178,0,,3453147,3453147,87156,0,1330633,Y,,N,N,11238086,10973588,0.976464141669676,11525038,11119779,0.964836645224077,,,54.3,,918071622.91,,0.048511904761905,18.600000000000001,822.91,
NORWALK,VR,2008,104,103,F,236917899,17510562,254428461,7820918,28626555,229072804,274289005,153675894,23677530,274180539,0,16565957,0,16565957,108466,3976808,108466,0,,193969443,193969443,1157112,0,37388337,N,,N,N,225887723,222455924,0.984807501025631,229232383,224059428,0.977433576651341,,,22.81,,20898752370.58,,0.047087238346889,21.655999999999999,10608.33,
NORWICH,VR,2008,105,104,NL,50696000,9884000,62188000,2541000,53803000,52367000,110164000,79020000,4698000,115567000,7408000,7408000,3097000,3097000,-1092000,787000,-1092000,0,,21711000,21711000,308000,1200000,10984000,N,,N,Y,52005000,50127000,0.963888087683877,54224000,50967000,0.939934346414872,,,28.33,,3559365624.83,,0.063139363372508,28.93,5590.52,
OLD LYME,VR,2008,106,105,NL,8270851,4674623,13266975,837165,998215,27142753,29349288,21593555,197963,28218143,591097,591097,705543,705543,1016699,539443,1016699,0,13974850.09,100000,14074850.09,543760,50000,3834221,N,,N,N,27117511,26785154,0.987743823538967,27455299,26957765,0.98187839804622,,,23.1,,2613630523.85,,0.040292177191329,18.2,1241.3499999999999,
OLD SAYBROOK,VR,2008,107,106,M,64154555,7974955,74011436,1661019,6744506,30823441,39782232,24270424,3276712,38466261,21879,21879,510427,510427,827423,79454,827423,0,,23620000,23620000,0,0,1993888,Y,,N,N,30593411,30386251,0.993228607297173,31000571,30573240,0.986215382936011,,,15.04,,3486106583.04,,0.045495740438644,15.84,1626.56,
ORANGE,VR,2008,108,107,NH,20516362,12799773,33348776,-366066,7983622,47338858,57410251,39717632,6025521,57784327,645179,645179,55000,55000,216103,389427,216103,0,24697308.38,19480000,44177308.38,1474021,810000,10802708,N,,N,N,47246688,46936536,0.993435476366089,47574232,47162814,0.991352083203361,,,17.190000000000001,,2257737784.29,,0.041918636613524,29.9,2537.52,
OXFORD,VR,2008,109,108,NH,59603203,11849491,71459543,5326931,14719709,26190671,44148160,30674741,2738033,43884149,39368,39368,542000,542000,-238621,-537675,-238621,0,,15742000,15742000,0,0,4258889,N,,N,N,25971396,25271828,0.973063904612598,31086294,25844010,0.831363494149544,,,32.89,,2130026618.52,,0.045161290322581,19.37,2167.12,
PLAINFIELD,VR,2008,110,109,W,56317405,13699697,70017102,458130,21027867,19719676,43984903,33802453,3182454,43847150,10082,364630,777464,777464,-629629,794628,-275081,0,,22838185,22838185,5000,953275,5993526,N,,N,N,19639216,18943722,0.964586468217469,20729231,19320864,0.93205888824337,,,42.26,,1690180990.82,,0.07321726687336,28.4,2587.23,
PLAINVILLE,VR,2008,111,110,H,62446058,15145187,78711029,24288209,23798859,35553953,61099968,42839809,4518895,60954478,840684,840684,1740385,1740385,-754211,214059,-754211,0,,42335178,42335178,1864642,1300000,6165020,N,,N,N,34971092,34173231,0.977185127647715,36396932,34966333,0.960694516779601,,,9.76,,1996146742.86,,0.057876543209877,25.5,2605.73,
PLYMOUTH,VR,2008,112,111,L,157731934,7588344,170167582,7679962,16520480,24300101,42323582,26958853,2959601,41305778,100000,100000,1139530,1139530,-21726,287662,-21726,0,,23882032,23882032,376976,100000,2384084,N,,N,N,24372343,23368389,0.958807653412723,25879095,23894630,0.923317836269004,,,21.72,,1160098464.29,,0.066266822703335,30.1,2026.65,
POMFRET,VR,2008,113,112,W,9391381,2340271,11949687,805762,4281438,6864971,11511974,9293307,130659,10745935,11033,11033,788419,788419,-11347,46539,-11347,0,,781639,781639,344717,264583,1463604,N,,N,N,6838766,6779590,0.991346976925369,6896696,6812842,0.987841424357402,,,40.29,,569467485.15,,0.048608042421564,20,778.65,
PORTLAND,VR,2008,114,113,M,54097639,5800096,59897735,2686154,10372795,22438781,33600058,22345049,3338025,32141378,0,90000,1083672,1083672,375008,-137055,465008,0,,25412591,25412591,191133,129000,2896335,N,,N,Y,22386692,22017184,0.983494300989177,23028048,22309440,0.968794228672791,,,23.4,,1183547115.71,,0.048192771084337,26.99,1451.12,
PRESTON,VR,2008,115,114,NL,11984231,2509797,14538710,434715,5558142,7857058,14572942,10547934,683450,13968599,20,11620,297928,297928,306435,95064,318035,0,,5563038,5563038,539960,0,1954086,N,,N,N,7858613,7655877,0.974202063392102,8060785,7750958,0.961563669047121,,,30.89,,650284639.42,,0.047034764826176,26.19,758.08,
PROSPECT,VR,2008,116,115,NH,15090519,1484037,16574556,373627,5412406,19482673,25610842,18877933,870060,25723150,113924,177308,6500,6500,-4884,-265875,58500,0,16867040.81,3420435,20287475.81,0,0,475489,N,,N,N,19236927,18975021,0.98638524749821,19778268,19256195,0.973603704834013,,,14.32,,1250640124.19,,0.050783462337172,24.5,1644,
PUTNAM,VR,2008,117,116,W,26072977,5692383,31925360,-929892,14240612,7875971,25147984,20967049,200790,25850769,0,0,128790,128790,-831575,-503241,-831575,0,,360000,360000,769647,0,2437412,N,,N,N,7793283,7599675,0.975157067951979,8050903,7711741,0.957872800107019,,,20.29,,980772219.03,,0.067851681957186,15.22,1298.97,
REDDING,VR,2008,118,117,F,31767568,3337320,35106988,-718230,7845406,36129273,45695825,35725618,2085619,46944272,0,349927,254800,254800,-1503247,-2342597,-1153320,0,13369335.75,13398784,26768119.75,0,0,398651,N,,N,N,35780495,35548779,0.993523957675823,36377079,35988138,0.989308075010641,,,31.5,,2776443707.95,,0.037329351535836,22.74,1808.89,
RIDGEFIELD,VR,2008,119,118,F,62909126,16539249,79496819,5955498,29887903,104080550,142818165,98454741,13982516,140385235,22940,22940,1790776,1790776,665094,1345943,665094,0,,125102361,125102361,799156,1200000,9903640,Y,,N,N,104203399,103123944,0.989640884938888,106462472,103597402,0.973088451299534,,,34.43,,8052661302.44,,0.038279132791328,24.87,5573.48,
ROCKY HILL,VR,2008,120,119,H,28539713,1915670,30602347,-286340,16123098,46816288,65613238,36640268,2956827,65829456,0,0,380381,380381,-596599,636913,-596599,0,,22980391,22980391,201398,550967,4196147,N,,N,N,46723104,46421162,0.993537629691726,47055626,46574144,0.989767812248423,,,13.45,,2959539490.49,,0.047276748686757,28.4,2626.19,
ROXBURY,VR,2008,121,120,L,10143615,2371552,15959489,366273,381443,7879965,8864633,5647247,0,8002119,0,431249,1186249,1186249,-323735,125064,107514,0,619099.95,431249,1050348.95,0,394848,2318717,N,,N,N,7876644,7818886,0.992667181606786,7909319,7840515,0.991300894552363,,,26.22,,1005882173.79,,0.038461538461538,15.4,314,
SALEM,VR,2008,122,121,NL,12762894,2703009,15480464,729569,5340959,9671109,15453328,11578692,674870,15389756,70913,70913,20000,20000,114485,366651,114485,0,,1600000,1600000,276503,535826,2328785,N,,N,N,9656132,9473638,0.981100714033321,9824444,9598793,0.977031677314258,,,28.95,,607833015.71,,0.044585987261147,22.75,806.36,
SALISBURY,VR,2008,123,122,L,6793429,6374431,21877490,355911,1916888,10354902,13151781,8631213,396727,12603187,0,0,762748,762748,-214154,41515,-214154,0,1083241.18,1791136,2874377.18,214840,318459,1778348,N,,N,N,10343632,10258538,0.991773295879049,10517377,10360867,0.985118913204309,,,57.32,,1785473033.39,,0.037890424987199,8.9,417.62,
SCOTLAND,VR,2008,124,123,W,6722502,6522954,13310624,7263362,1809391,3213279,5221284,3973587,3834341,5266271,2618,2618,32910,32910,-75279,1736,-75279,0,0,8035000,8035000,264134,90000,824258,N,,N,N,3236510,3130243,0.967166175911707,3533743,3211245,0.908737562409038,,,18.61,,202623043.08,,0.03638151425762,33.049999999999997,265.39999999999998,
SEYMOUR,VR,2008,125,124,NH,34048251,8671268,42720519,272465,22355393,34139861,58459559,38297938,4809037,57465643,0,0,828461,828461,165455,624835,165455,0,,39160304,39160304,544319,0,4783859,N,,N,N,33537238,32980760,0.983407160720868,34578364,33530308,0.969690411032749,,,14.57,,2115320761.44,,0.056755023514322,25.03,2554.42,
SHARON,VR,2008,126,125,L,4890364,3026436,8036970,438520,1357339,8068621,9906117,6858345,299192,9711946,9200,9200,238951,238951,-35580,489103,-35580,0,983109.96,1528364,2511473.96,151824,50000,1690820,N,,N,N,8094156,7936234,0.980489380239274,8373378,8014594,0.957151820925796,,,58.7,,1121755516.83,,0.035851472471191,14.9,327.16000000000003,
SHELTON,VR,2008,127,126,F,107362378,7000387,115487135,6540150,31862190,86879545,124973147,85504187,8926169,124476425,0,0,0,0,496722,1777161,496722,0,,56655000,56655000,1310903,2880000,10949048,N,,N,Y,82516225,81706943,0.990192450030282,83545079,82258095,0.98459533445411,,,30.57,,7095358371.43,,0.050159716826384,17.47,5713.38,
SHERMAN,VR,2008,128,127,F,10982640,1349889,12343279,950216,2909293,10704292,14161944,10040900,825645,13531782,0,0,187202,187202,442960,160004,442960,0,,5330000,5330000,10750,194235,1166130,N,,N,N,10655295,10593413,0.994192371023045,10734276,10663185,0.993377196561743,,,21.8,,1128022509.22,,0.034899953466729,16,642.11,
SIMSBURY,VR,2008,129,128,H,71428484,18748699,90177183,4316084,27641652,75062589,106086589,80434620,6277693,103332301,246746,246746,2817794,2817794,183240,-1209886,183240,0,,59275433,59275433,599507,0,8244167,N,,N,Y,75006187,74472676,0.992887106766272,75685238,74848279,0.98894158197666,,,33.880000000000003,,3961195938.44,,0.039361001317523,36.9,4967.3900000000003,
SOMERS,VR,2008,130,129,T,36774384,7953501,45026700,1741738,18718264,16063571,36288084,25585754,2998974,34447278,154153,154153,1467000,1467000,527959,862359,527959,0,,22086882,22086882,416886,0,4956232,N,,N,N,15969708,15781620,0.988222201683337,16253055,15905014,0.978586118117486,,,28.34,,1258254154.58,,0.053428691628103,21.56,1706.39,
SOUTH WINDSOR,VR,2008,131,132,H,111510516,13915715,125426231,-845537,35885450,69340563,108461737,78231913,4745863,105951865,62934,5459719,3338479,8656338,-765673,411271,-686747,0,,33015099,33015099,964171,1000000,7024840,Y,,N,N,69056659,68278043,0.988724968579786,71256896,68785091,0.965311357373748,,,27.96,,4073533759,,0.041540429542853,32.54,5082.8500000000004,
SOUTHBURY,VR,2008,132,130,NH,71936692,14665041,86601733,3353729,3214043,52524848,58278544,39731441,1390463,54258279,101142,101142,3504225,3504225,617182,-1358578,617182,0,22620036.07,12408890,35028926.07,635686,4416019,5377530,N,,N,N,52416052,52059857,0.993204467211685,52889702,52313690,0.989109184241575,,,39.06,,3677118032.91,,0.045756618368014,25.4,3274.07,
SOUTHINGTON,VR,2008,133,131,H,112125000,-14999000,98149000,-1024000,51196000,85341000,141161000,99810000,5595000,136700000,0,0,3527000,3527000,934000,14000,934000,0,,51277000,51277000,365000,575000,10301000,N,,N,Y,84776000,83662000,0.986859488534491,86500000,84560000,0.97757225433526,,,35.99,,6045594484.03,,0.046692127633362,21.88,6882.4,
SPRAGUE,VR,2008,134,133,NL,7652291,1835240,9488781,-127901,3714220,4791413,8880935,6171437,373806,8769377,29770,29770,82580,82580,58748,-444891,58748,0,,2610000,2610000,52189,0,1317575,N,,N,N,4794889,4639307,0.967552533541444,4963790,4733899,0.95368639688625,,,13.21,,329873326.44,,0.065430752453653,26,464.09,
STAFFORD,VR,2008,135,134,T,65472354,4071245,72466882,3165575,20304809,19299482,41117308,31275097,2944273,42023363,128225,9728735,2359262,9759262,-3137092,-4081011,-936582,0,,23585536,23585536,247435,0,3293194,N,,N,N,19201941,18744144,0.97615881644465,20055270,19113414,0.953036982299416,,,57.95,,1301922865.52,,0.056914119359534,24.63,1926.19,
STAMFORD,VR,2008,136,135,F,230370107,34481044,264851151,6439385,38740568,360287944,442328318,221558188,45402419,401138825,2531303,2531303,40379763,40379763,3341033,-262809,3341033,-6816520,,387748899,387748899,4092404,11414206,15506610,N,,N,Y,356270017,350166266,0.982867626494654,368924766,354957358,0.96214022671495,,,37.71,,13438345880,,0.046362754607178,27.03,15028.56,
STERLING,VR,2008,137,136,W,17667286,13042742,30714757,2791474,3945599,6023889,10403037,7590089,9213036,9728420,22398,22398,381036,381036,315979,793186,315979,0,,16185000,16185000,189290,0,2499253,N,,N,N,6038516,5724118,0.947934558755827,6383837,5907670,0.925410532881714,,,27.23,,415650613.41,,0.064990512333966,33,675.39,
STONINGTON,VR,2008,138,137,NL,79816672,16764899,96791628,4406715,5385503,46723063,56442940,31572075,5085834,52669068,200021,200021,2428995,2428995,1544898,1402463,1544898,0,,41970658,41970658,294407,265592,10200665,N,,N,N,46617197,46195147,0.990946474109115,47042913,46530787,0.989113641835913,,,38.68,,4812976599.21,,0.042151298036661,21.73,2578.2399999999998,
STRATFORD,VR,2008,139,138,F,51011522,-35633088,17989434,5662838,62597178,135666547,206777211,115569201,22075206,204140980,583353,583353,1375019,1375019,1844565,1596223,1844565,0,,139373150,139373150,3468681,0,11689121,N,,N,N,134121083,131726602,0.982146870973298,137594224,133204111,0.96809376969196,,,17.579999999999998,,7746807388.89,,0.060282320271521,30.12,7654.22,
SUFFIELD,VR,2008,140,139,H,60508398,15504156,76463734,3652993,23450012,29655308,57015218,38869775,3074000,53106984,544644,544644,3391062,3391062,1061816,329408,1061816,0,,20161226,20161226,37516,1200000,9366951,N,,N,N,29574125,29225385,0.98820793514601,30058147,29543125,0.982865810058085,,,42.21,,2049428679.91,,0.046762589928058,26.4,2497,
